eventID,Agency,year,month,day,hour,minute,second,timeError,longitude,latitude,SemiMajor90,SemiMinor90,ErrorStrike,depth,depthError,magnitude,sigmaMagnitude,magnitudeType
193,193,1470,4,11,0,0,0.0,0.0,11.037,44.162,44.162,44.162,44.162,10.0,10.0,5.56,5.56,5.56
194,194,1471,3,1,0,0,0.0,0.0,12.577,43.351,43.351,43.351,43.351,10.0,10.0,4.16,4.16,4.16
195,195,1471,8,15,16,40,0.0,0.0,10.22,45.539,45.539,45.539,45.539,10.0,10.0,4.16,4.16,4.16
196,196,1471,1,1,0,0,0.0,0.0,10.22,45.539,45.539,45.539,45.539,10.0,10.0,3.7,3.7,3.7
197,197,1472,5,14,0,0,0.0,0.0,,,,,,10.0,10.0,,,
198,198,1472,1,1,0,0,0.0,0.0,12.568,44.059,44.059,44.059,44.059,10.0,10.0,5.1,5.1,5.1
199,199,1473,2,2,0,0,0.0,0.0,12.568,44.059,44.059,44.059,44.059,10.0,10.0,4.4,4.4,4.4
200,200,1473,5,7,7,45,0.0,0.0,9.191,45.464,45.464,45.464,45.464,10.0,10.0,3.7,3.7,3.7
201,201,1474,3,11,20,30,0.0,0.0,10.926,44.647,44.647,44.647,44.647,10.0,10.0,4.16,4.16,4.16
202,202,1474,8,18,0,0,0.0,0.0,13.513,43.619,43.619,43.619,43.619,10.0,10.0,5.1,5.1,5.1
203,203,1477,1,30,16,0,0.0,0.0,12.704,42.955,42.955,42.955,42.955,10.0,10.0,4.4,4.4,4.4
204,204,1477,2,3,1,0,0.0,0.0,12.704,42.955,42.955,42.955,42.955,10.0,10.0,4.86,4.86,4.86
205,205,1479,10,10,22,0,0.0,0.0,12.04,44.222,44.222,44.222,44.222,10.0,10.0,4.16,4.16,4.16
206,206,1480,1,1,0,0,0.0,0.0,13.835,42.919,42.919,42.919,42.919,10.0,10.0,4.86,4.86,4.86
207,207,1481,2,6,21,15,0.0,0.0,10.454,43.781,43.781,43.781,43.781,10.0,10.0,4.4,4.4,4.4
208,208,1481,2,7,6,20,0.0,0.0,10.505,43.843,43.843,43.843,43.843,10.0,10.0,4.4,4.4,4.4
209,209,1481,2,7,22,45,0.0,0.0,10.628,44.724,44.724,44.724,44.724,10.0,10.0,4.16,4.16,4.16
210,210,1481,5,7,14,15,0.0,0.0,10.13,44.274,44.274,44.274,44.274,10.0,10.0,5.6,5.6,5.6
211,211,1483,3,3,22,0,0.0,0.0,11.62,44.835,44.835,44.835,44.835,10.0,10.0,4.4,4.4,4.4
212,212,1483,8,11,19,40,0.0,0.0,12.229,44.155,44.155,44.155,44.155,10.0,10.0,5.69,5.69,5.69
213,213,1484,1,19,0,0,0.0,0.0,12.565,42.092,42.092,42.092,42.092,10.0,10.0,5.02,5.02,5.02
214,214,1484,1,1,0,0,0.0,0.0,12.141,43.57,43.57,43.57,43.57,10.0,10.0,5.1,5.1,5.1
215,215,1485,9,1,0,0,0.0,0.0,11.721,45.355,45.355,45.355,45.355,10.0,10.0,4.16,4.16,4.16
216,216,1485,1,1,0,0,0.0,0.0,10.631,44.698,44.698,44.698,44.698,10.0,10.0,4.16,4.16,4.16
217,217,1486,9,30,0,0,0.0,0.0,11.332,43.318,43.318,43.318,43.318,10.0,10.0,4.4,4.4,4.4
218,218,1487,1,11,15,40,0.0,0.0,11.62,44.835,44.835,44.835,44.835,10.0,10.0,3.7,3.7,3.7
219,219,1489,1,1,0,0,0.0,0.0,12.141,43.57,43.57,43.57,43.57,10.0,10.0,5.1,5.1,5.1
220,220,1490,6,10,0,0,0.0,0.0,14.614,37.816,37.816,37.816,37.816,10.0,10.0,5.1,5.1,5.1
221,221,1491,1,24,23,50,0.0,0.0,11.875,45.407,45.407,45.407,45.407,10.0,10.0,4.86,4.86,4.86
222,222,1492,1,1,0,0,0.0,0.0,12.04,44.222,44.222,44.222,44.222,10.0,10.0,4.86,4.86,4.86
